section,title,url,pdf_path,status,erro
MDB - TOTVS APS,Apresentação TOTVS - APS,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244718944,PDFs_TDN\MDB - TOTVS APS\Apresentação TOTVS - APS - Linha Datasul - TDN.pdf,OK,
MDB - TOTVS APS,Características do Módulo de Planejamento Avançado - APS,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244717755,PDFs_TDN\MDB - TOTVS APS\Características do Módulo de Planejamento Avançado - APS - Linha Datasul - TDN.pdf,OK,
MDB - TOTVS APS,Fluxo do Planejamento - TOTVS APS,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244718816,PDFs_TDN\MDB - TOTVS APS\Fluxo do Planejamento - TOTVS APS - Linha Datasul - TDN.pdf,OK,
MDB - TOTVS APS,Glossário do Módulo de Planejamento Avançado – TOTVS APS,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244718908,PDFs_TDN\MDB - TOTVS APS\Glossário do Módulo de Planejamento Avançado – TOTVS APS - Linha Datasul - TDN.pdf,OK,
MDB - TOTVS APS,Integração com Outros Módulos - APS,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244718792,PDFs_TDN\MDB - TOTVS APS\Integração com Outros Módulos - APS - Linha Datasul - TDN.pdf,OK,
MDB - TOTVS APS,Premissas do Módulo de Planejamento Avançado - APS,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244718801,PDFs_TDN\MDB - TOTVS APS\Premissas do Módulo de Planejamento Avançado - APS - Linha Datasul - TDN.pdf,OK,
MDB - TOTVS APS,Referências Bibliográficas do Módulo de Planejamento Avançado - APS,https://tdn.totvs.com.br/pages/releaseview.action?pageId=244718929,PDFs_TDN\MDB - TOTVS APS\Referências Bibliográficas do Módulo de Planejamento Avançado - APS - Linha Datasul - TDN.pdf,OK,
MDB - TOTVS APS,Wizard Implantação APS - DB4000,https://tdn.totvs.com.br/pages/releaseview.action?pageId=518477599,PDFs_TDN\MDB - TOTVS APS\DT DB4000 Atualizar textos do Wizard - Linha Datasul - TDN.pdf,OK,
How To - MDB,How To - MDB - Alocação de Saldos - Multiestabelecimento,https://tdn.totvs.com.br/pages/releaseview.action?pageId=568923669,PDFs_TDN\How To - MDB\How To - MDB - Alocação de Saldos - Multiestabelecimento - Linha Datasul - TDN.pdf,OK,
How To - MDB,How To - MDB - APS Confirmação Protheus,https://tdn.totvs.com.br/pages/releaseview.action?pageId=274828302,PDFs_TDN\How To - MDB\How To - MDB - APS Confirmação Protheus - Linha Datasul - TDN.pdf,OK,
How To - MDB,How To - MDB - APS Programação Fixa,https://tdn.totvs.com.br/pages/releaseview.action?pageId=347448953,PDFs_TDN\How To - MDB\How To - MDB - APS Programação Fixa - Linha Datasul - TDN.pdf,OK,
How To - MDB,How To - MDB - APS Programação por Lote,https://tdn.totvs.com.br/pages/releaseview.action?pageId=311633333,PDFs_TDN\How To - MDB\How To - MDB - APS Programação por Lote - Linha Datasul - TDN.pdf,OK,
